res_id,age,sex,phone_number,marital_status,asal_kota,asal_provinsi
202203A1401484221,31,f,081710322699,kawin,KABUPATEN ACEH BESAR,ACEH
202203B1902780908,30,f,081285210057,kawin,KABUPATEN TORAJA UTARA,SULAWESI SELATAN
202303C1201119547,39,m,085218469647,cerai mati,KABUPATEN MAMBERAMO TENGAH,PAPUA
202403D302160049,30,m,082139816931,kawin,KABUPATEN BANDUNG,JAWA BARAT
202203C101563316,25,f,082119094223,belum kawin,KABUPATEN SERUYAN,KALIMANTAN TENGAH
202203G1201179026,30,m,081811331157,kawin,KABUPATEN MOROWALI,SULAWESI TENGAH
202303H1201633496,25,m,081832276296,belum kawin,KOTA TOMOHON,SULAWESI UTARA
202203G1501690987,26,m,081848105739,kawin,KABUPATEN GIANYAR,BALI
202403D2501171004,33,m,081823686655,kawin,KABUPATEN SUMBA BARAT,NUSA TENGGARA TIMUR
202303G1101892420,28,m,081234024885,kawin,KABUPATEN LAMPUNG TENGAH,LAMPUNG
202403B2001196382,35,m,081713893122,kawin,KABUPATEN BANYUWANGI,JAWA TIMUR
202303D802517421,41,f,085651971230,cerai mati,KABUPATEN TANGERANG,BANTEN
202303H2501280011,43,m,081712021029,kawin,KABUPATEN MINAHASA TENGGARA,SULAWESI UTARA
202303H101141935,44,m,085621574280,kawin,KABUPATEN BANGKA TENGAH,KEPULAUAN BANGKA BELITUNG
202203F101467154,34,f,081719677346,kawin,KABUPATEN BANJAR,KALIMANTAN SELATAN
202203A1601285586,35,m,085231797102,kawin,KABUPATEN SAROLANGUN,JAMBI
202203D1801112245,27,f,081823192934,kawin,KABUPATEN MAMUJU UTARA,SULAWESI BARAT
202303C401133155,38,m,082130973285,kawin,KOTA MEDAN,SUMATERA UTARA
202303C802103588,42,f,085215338852,cerai hidup,KABUPATEN AGAM,SUMATERA BARAT
202403B1101794392,42,m,085224155134,cerai hidup,KABUPATEN ACEH UTARA,ACEH
202403D2701308369,37,f,081711655907,cerai hidup,KABUPATEN PIDIE JAYA,ACEH
202203A501112667,43,m,081313943087,kawin,KABUPATEN MESUJI,LAMPUNG
202403B1701600697,30,m,081813201255,kawin,KABUPATEN BIREUEN,ACEH
202203D601240055,41,m,085620829554,cerai hidup,KABUPATEN MESUJI,LAMPUNG
202303A901220966,42,m,081293843117,cerai mati,KABUPATEN BARITO SELATAN,KALIMANTAN TENGAH
202203F501295992,43,m,085222113253,kawin,KABUPATEN NIAS,SUMATERA UTARA
202203E401265238,42,m,081225549008,cerai mati,KABUPATEN KEPAHIANG,BENGKULU
202403B401236420,33,m,085628840083,kawin,KABUPATEN JAYAWIJAYA,PAPUA
202403H2101178578,31,f,082133009623,kawin,KOTA TERNATE,MALUKU UTARA
202403D2401187867,30,m,081254676762,kawin,KOTA MOJOKERTO,JAWA TIMUR
202303D1201242806,43,m,085223672101,cerai hidup,KOTA SABANG,ACEH
202403G1601312097,26,f,081323069580,belum kawin,KABUPATEN REJANG LEBONG,BENGKULU
202403D1101263990,32,m,082131210080,kawin,KABUPATEN BENER MERIAH,ACEH
202403G901267851,27,m,085620786144,kawin,KABUPATEN TIMOR TENGAH SELATAN,NUSA TENGGARA TIMUR
202203H2302381430,29,m,085213428411,kawin,KOTA SUNGAI PENUH,JAMBI
202203A1001314392,41,m,081728898775,cerai hidup,KABUPATEN LUWU TIMUR,SULAWESI SELATAN
202303H301109854,36,f,082118049418,kawin,KABUPATEN KUTAI KARTANEGARA,KALIMANTAN TIMUR
202303G601652294,35,m,081723664764,kawin,KABUPATEN MINAHASA SELATAN,SULAWESI UTARA
202203E501134039,30,f,085218713727,kawin,KOTA DENPASAR,BALI
202203B1601208333,35,m,082118014624,kawin,KABUPATEN LANGKAT,SUMATERA UTARA
202203D1301227936,28,f,081224270341,kawin,KABUPATEN MAGELANG,JAWA TENGAH
202203D101323962,39,f,082127861700,cerai hidup,KABUPATEN JAYAWIJAYA,PAPUA
202303H501220892,44,f,085623480629,kawin,KABUPATEN PIDIE JAYA,ACEH
202203B901547192,30,m,085688315018,kawin,KABUPATEN KLATEN,JAWA TENGAH
202203A1201429217,35,m,085211144265,kawin,KABUPATEN AGAM,SUMATERA BARAT
202403A701848730,25,m,081734643159,belum kawin,KOTA BUKITTINGGI,SUMATERA BARAT
202403H2001296930,42,m,081760437446,cerai hidup,KABUPATEN MERAUKE,PAPUA
202203F901664817,44,f,082193666141,cerai mati,KABUPATEN KENDAL,JAWA TENGAH
202403H2201127609,37,f,081866060164,cerai mati,KABUPATEN KEPAHIANG,BENGKULU
202203H1502921274,37,m,085620420786,kawin,KOTA SORONG,PAPUA BARAT
202203D1401175758,40,m,081214499040,cerai mati,KABUPATEN SRAGEN,JAWA TENGAH
202403E901278975,31,m,085612930769,kawin,KABUPATEN PASAMAN BARAT,SUMATERA BARAT
202303C1301216791,27,f,081719460844,belum kawin,KOTA MAGELANG,JAWA TENGAH
202203B501449940,37,f,081813652813,cerai mati,KABUPATEN TANAH LAUT,KALIMANTAN SELATAN
202403E302102225,42,m,082122062439,cerai hidup,KOTA BENGKULU,BENGKULU
202203C701165915,44,m,081734013946,cerai mati,KABUPATEN HULU SUNGAI SELATAN,KALIMANTAN SELATAN
202303B2101195205,43,m,081814934463,cerai mati,KABUPATEN BANDUNG BARAT,JAWA BARAT
202403F201111589,44,m,081760447440,kawin,KABUPATEN MERAUKE,PAPUA
202403H1402273790,44,m,081786006303,kawin,KABUPATEN TORAJA UTARA,SULAWESI SELATAN
202303D1501206345,40,m,081723864761,kawin,KABUPATEN PEGUNUNGAN ARFAK,PAPUA BARAT
202203C1001133824,33,f,085217867618,kawin,KABUPATEN GUNUNG KIDUL,DI YOGYAKARTA
202403C1601244346,26,f,081264002743,kawin,KABUPATEN KAMPAR,RIAU
202403C1402295046,25,m,081891723152,belum kawin,KABUPATEN ACEH TENGAH,ACEH
202303H601826045,44,m,081213540698,kawin,KOTA TEBING TINGGI,SUMATERA UTARA
202403D2201135881,34,m,081228961087,kawin,KABUPATEN SUBANG,JAWA BARAT
202203D201180421,28,m,081728080700,kawin,KABUPATEN KOTAWARINGIN TIMUR,KALIMANTAN TENGAH
202203H702309642,43,f,085628060142,cerai hidup,KABUPATEN BANYUWANGI,JAWA TIMUR
202403D1601803577,25,f,081829398586,belum kawin,KABUPATEN TAKALAR,SULAWESI SELATAN
202303A1502209362,37,m,081711190312,kawin,KABUPATEN KEPULAUAN SELAYAR,SULAWESI SELATAN
202403A301475415,37,m,081325480035,kawin,KOTA CIREBON,JAWA BARAT
202203A1301148997,33,m,081884118802,kawin,KABUPATEN DOGIYAI,PAPUA
202303H1002215830,34,m,081731631269,kawin,KOTA JAKARTA BARAT,DKI JAKARTA
202403G402335781,37,f,081822913255,kawin,KOTA BAUBAU,SULAWESI TENGGARA
202403A101308923,25,m,081746304343,kawin,KABUPATEN PEGUNUNGAN ARFAK,PAPUA BARAT
202403B302280457,34,m,085628024366,kawin,KABUPATEN CIREBON,JAWA BARAT
202403C1501165303,37,m,082114677568,cerai mati,KABUPATEN GORONTALO,GORONTALO
202203C602480434,31,m,081729173214,kawin,KABUPATEN LAMANDAU,KALIMANTAN TENGAH
202303B801972722,31,m,081216377373,kawin,KABUPATEN TAKALAR,SULAWESI SELATAN
202303F401246810,26,m,082118079843,kawin,KABUPATEN HALMAHERA SELATAN,MALUKU UTARA
202203H1601108817,26,m,085230781556,kawin,KABUPATEN BARITO UTARA,KALIMANTAN TENGAH
202203D701987639,38,m,081211699319,cerai mati,KABUPATEN BUOL,SULAWESI TENGAH
202203B101246645,37,m,085627105110,kawin,KABUPATEN KUTAI BARAT,KALIMANTAN TIMUR
202203B2301133830,45,m,081816057567,cerai mati,KABUPATEN ALOR,NUSA TENGGARA TIMUR
202403B1001120987,40,m,081269725830,kawin,KABUPATEN GUNUNG KIDUL,DI YOGYAKARTA
202203B1302147788,44,m,085610352840,cerai hidup,KABUPATEN BELU,NUSA TENGGARA TIMUR
202403F1501118123,38,m,082160122612,kawin,KABUPATEN ACEH BARAT,ACEH
